id,Degerlendirme Puani
402,19.47
403,44.69
404,53.22
405,45.89
406,45.88
407,26.62
408,9.58
409,54.76
410,17.07
411,41.03
412,32.54
413,36.88
414,31.67
415,32.49
416,49.01
417,36.15
418,18.73
419,46.19
420,36.11
421,35.03
422,8.98
423,6.51
424,32.86
425,27.36
426,44.35
427,20.52
428,41.44
429,40.76
430,34.28
431,24.4
432,33.49
433,35.08
434,36.58
435,13.93
436,38.6
437,34.63
438,23.87
439,19.11
440,42.63
441,11.53
442,41.14
443,18.89
444,33.48
445,11.58
446,39.04
447,23.13
448,12.51
449,53.87
450,20.59
451,44.17
452,35.53
453,26.98
454,29.85
455,29.17
456,28.08
457,53.41
458,51.45
459,11.42
460,28.78
461,29.66
462,38.78
463,46.91
464,39.98
465,23.35
466,23.04
467,12.69
468,61.86
469,45.35
470,35.4
471,25.79
472,39.4
473,24.31
474,40.12
475,9.47
476,35.62
477,22.36
478,16.37
479,47.6
480,6.48
481,35.52
482,56.25
483,16.02
484,34.94
485,25.37
486,40.17
487,49.88
488,42.0
489,23.94
490,23.17
491,39.42
492,36.57
493,32.31
494,33.4
495,33.23
496,20.59
497,20.02
498,49.33
499,40.4
500,41.44
501,19.49
502,30.99
503,44.21
504,14.54
505,50.68
506,28.93
507,34.03
508,22.75
509,37.22
510,51.52
511,9.73
512,39.3
513,35.38
514,35.56
515,21.16
516,42.04
517,36.97
518,31.24
519,14.12
520,51.76
521,20.96
522,57.36
523,40.4
524,15.2
525,20.22
526,8.36
527,41.65
528,27.0
529,53.19
530,34.83
531,47.25
532,37.95
533,38.9
534,6.66
535,35.32
536,41.52
537,11.64
538,45.26
539,21.47
540,46.98
541,22.49
542,27.96
543,52.01
544,23.2
545,37.68
546,42.96
547,60.83
548,32.76
549,56.9
550,36.93
551,47.48
552,11.57
553,20.97
554,23.23
555,40.46
556,26.81
557,36.99
558,24.67
559,43.36
560,19.7
561,39.84
562,13.22
563,23.19
564,44.87
565,14.88
566,23.21
567,15.72
568,36.89
569,44.0
570,23.1
571,31.5
572,30.38
573,10.72
574,48.77
575,37.55
576,35.14
577,32.92
578,40.08
579,31.77
580,34.81
581,37.5
582,41.62
583,28.17
584,42.7
585,57.19
586,49.43
587,28.03
588,13.16
589,11.87
590,18.12
591,24.97
592,45.28
593,37.73
594,47.46
595,52.11
596,23.65
597,24.51
598,9.58
599,59.49
600,31.64
601,46.71
602,42.37
603,33.99
604,51.11
605,51.76
606,16.03
607,18.38
608,42.22
609,32.11
610,27.53
611,36.03
612,28.14
613,37.25
614,9.26
615,38.7
616,46.77
617,6.56
618,21.02
619,44.97
620,36.64
621,39.55
622,51.11
623,38.74
624,14.17
625,34.62
626,23.18
627,26.62
628,20.4
629,20.23
630,36.61
631,21.72
632,53.02
633,19.21
634,24.24
635,14.53
636,33.71333333333334
637,44.38
638,16.19
639,40.35
640,22.64
641,23.26
642,50.08
643,18.0
644,45.1
645,18.75
646,19.46
647,13.37
648,55.56
649,25.31
650,43.49
651,7.52
652,20.43
653,27.75
654,43.52
655,18.18
656,19.48
657,13.07
658,11.59
659,26.17
660,18.11
661,24.93
662,12.09
663,38.2
664,46.44
665,13.41
666,37.25
667,22.45
668,40.38
669,48.92
670,46.58
671,36.82
672,43.29
673,36.77
674,34.29
675,8.22
676,49.87
677,7.45
678,7.38
679,28.54
680,44.72
681,10.51
682,8.62
683,48.13
684,39.0
685,28.7
686,29.87
687,20.5
688,12.19
689,32.55
690,12.58
691,23.27
692,29.71
693,32.35
694,14.41
695,51.9
696,44.67
697,40.94
698,45.86
699,42.61
700,8.02
701,35.71
702,29.84
703,42.85
704,12.64
705,37.5
706,11.86
707,31.48
708,27.61
709,45.52
710,53.6
711,36.84
712,26.43
713,32.99
714,17.58
715,56.11
716,35.42
717,36.68
718,20.53
719,20.34
720,36.19
721,21.93
722,35.79
723,35.3
724,37.36
725,44.17
726,34.35
727,45.31
728,35.59
729,28.52
730,12.91
731,24.3
732,9.78
733,43.39
734,18.56
735,24.97
736,35.08
737,27.31
738,37.89
739,17.18
740,45.66
741,60.01
742,36.63
743,29.43
744,45.94
745,14.11
746,23.78
747,12.01
748,17.11
749,32.02
750,52.84
751,8.96
752,34.58
753,31.7
754,43.79
755,32.72
756,10.86
757,23.36
758,38.4
759,55.24
760,46.18
761,21.2
762,9.94
763,36.85
764,8.77
765,54.26
766,26.48
767,22.45
768,10.39
769,40.56
770,62.14
771,26.5
772,58.64
773,25.44
774,40.13
775,28.97
776,24.25
777,19.85
778,36.35
779,54.2
780,13.74
781,22.76
782,40.64
783,22.7
784,36.52
785,20.21
786,28.66
787,41.33
788,56.46
789,41.35
790,11.28
791,8.82
792,32.62
793,40.03
794,45.39
795,9.34
796,30.29
797,40.92
798,21.72
799,28.0
800,36.99
801,41.18
802,22.24
803,23.31
804,17.38
805,41.61
806,30.85
807,5.89
808,21.39
809,12.19
810,53.43
811,47.59
812,22.31
813,38.82
814,37.55
815,32.43
816,18.94
817,46.04
818,48.41
819,47.68
820,52.1
821,46.64
822,30.15
823,19.23
824,40.31
825,31.05
826,46.36
827,38.46
828,23.94
829,10.75
830,36.55
831,42.79
832,20.08
833,41.73
834,18.84
835,26.54
836,30.82
837,56.74
838,43.48
839,42.12
840,42.56
841,45.59
842,38.17
843,50.17
844,29.61
845,46.97
846,17.94
847,34.78
848,43.7
849,31.05
850,12.45
851,35.45
852,22.98
853,25.33
854,37.65
855,13.31
856,49.67
857,32.25
858,8.87
859,44.03
860,34.02
861,14.56
862,32.09
863,36.08
864,57.93
865,15.39
866,45.57
867,27.91
868,26.16
869,54.39
870,49.1
871,10.12
872,49.49
873,33.37
874,29.71
875,38.06
876,50.93
877,16.39
878,46.54
879,13.05
880,48.76
881,26.0
882,26.38
883,51.5
884,36.9
885,46.03
886,12.65
887,9.55
888,37.77
889,21.71
890,22.47
891,9.16
892,16.1
893,29.24
894,37.79
895,9.43
896,44.76
897,11.44
898,30.72
899,34.65
900,38.24
901,14.2
902,52.84
903,27.89
904,32.666666666666664
905,40.0
906,30.14
907,52.27
908,44.37
909,10.27
910,34.11
911,30.83
912,29.3
913,23.89
914,50.09
915,32.55
916,48.34
917,34.26
918,11.05
919,42.98
920,29.5
921,19.15
922,23.15
923,34.85
924,12.82
925,15.42
926,32.21
927,19.91
928,56.25
929,30.74
930,21.75
931,24.92
932,38.72
933,34.86
934,18.0
935,44.26
936,53.38
937,11.07
938,45.03
939,12.32
940,36.41
941,50.9
942,54.64
943,26.32
944,35.57
945,27.81
946,10.16
947,11.1
948,45.34
949,29.67
950,21.99
951,22.39
952,24.92
953,24.57
954,48.66
955,44.71
956,22.74
957,44.79
958,30.55
959,28.32
960,55.46
961,42.82
962,49.02
963,38.89
964,23.94
965,36.83
966,34.77
967,35.5
968,31.32
969,50.36
970,33.68
971,39.72
972,7.34
973,54.18
974,47.95
975,34.67
976,41.57
977,49.85
978,35.33
979,24.81
980,44.64
981,40.43
982,10.95
983,16.42
984,45.64
985,34.58
986,35.92
987,11.19
988,21.51
989,20.28
990,31.42
991,16.23
992,47.97
993,15.08
994,48.12
995,32.26
996,52.95
997,13.1
998,26.98
999,38.02
1000,30.82
1001,51.03
1002,31.66
1003,12.53
1004,20.79
1005,30.68
1006,42.46
1007,22.1
1008,49.51
1009,40.83
1010,33.52
1011,17.81
1012,32.16
1013,40.34
1014,39.53
1015,20.3
1016,24.81
1017,47.58
1018,6.56
1019,47.65
1020,34.81
1021,36.72
1022,20.06
1023,19.02
1024,24.45
1025,19.97
1026,37.23
1027,20.47
1028,22.01
1029,22.69
1030,30.18
1031,39.9
1032,21.12
1033,26.03
1034,8.73
1035,45.48
1036,36.44
1037,18.97
1038,48.31
1039,43.19
1040,36.04
1041,28.09
1042,38.21
1043,54.31
1044,25.24
1045,43.95
1046,53.37
1047,23.92
1048,12.0
1049,37.35
1050,30.56
1051,43.35
1052,49.4
1053,45.9
1054,27.48
1055,31.82
1056,19.89
1057,26.85
1058,32.03
1059,32.46
1060,15.41
1061,52.14
1062,11.52
1063,37.4
1064,23.07
1065,19.98
1066,45.13
1067,29.82
1068,48.23
1069,41.8
1070,31.24
1071,36.31
1072,11.42
1073,12.82
1074,37.42
1075,24.09
1076,29.28
1077,24.1
1078,56.0
1079,6.6
1080,18.68
1081,40.39
1082,59.38
1083,9.83
1084,45.18
1085,38.54
1086,11.37
1087,36.83
1088,46.89
1089,33.1
1090,13.82
1091,52.47
1092,23.78
1093,32.83
1094,39.56
1095,20.92
1096,29.04
1097,31.54
1098,23.27
1099,45.24
1100,52.95
1101,18.72
1102,35.56
1103,33.78
1104,41.68
1105,52.02
1106,26.87
1107,43.88
1108,25.11
1109,24.86
1110,47.78
1111,22.88
1112,24.07
1113,33.25
1114,52.96
1115,40.81
1116,18.11
1117,36.98
1118,19.56
1119,27.92
1120,38.19
1121,40.8
1122,19.36
1123,21.53
1124,15.69
1125,25.57
1126,34.7
1127,27.7
1128,14.58
1129,37.71
1130,19.9
1131,18.39
1132,34.29
1133,32.89
1134,50.53
1135,33.59
1136,22.99
1137,40.35
1138,24.36
1139,45.48
1140,9.3
1141,29.45
1142,33.44
1143,40.54
1144,41.11
1145,38.66
1146,43.07
1147,24.0
1148,11.45
1149,45.1
1150,8.06
1151,44.47
1152,36.66
1153,47.8
1154,31.55
1155,48.24
1156,19.86
1157,21.3
1158,39.5
1159,38.6
1160,33.38
1161,41.94
1162,23.35
1163,53.88
1164,10.35
1165,51.18
1166,15.04
1167,47.57
1168,39.24
1169,21.73
1170,39.89
1171,45.78
1172,23.54
1173,12.12
1174,38.66
1175,58.23
1176,38.98
1177,38.88
1178,38.71
1179,9.86
1180,23.14
1181,32.06
1182,22.43
1183,34.68
1184,22.55
1185,10.11
1186,53.41
1187,26.14
1188,47.31
1189,23.09
1190,41.94
1191,37.44
1192,34.88
1193,43.69
1194,11.44
1195,40.23
1196,25.74
1197,40.36
1198,22.55
1199,44.24
1200,23.08
1201,51.39
1202,38.96
1203,23.74
1204,57.71
1205,22.58
1206,44.61
1207,39.56
1208,26.32
1209,21.5
1210,35.63
1211,11.16
1212,22.96
1213,12.35
1214,47.37
1215,33.21
1216,41.26
1217,54.74
1218,49.13
1219,29.15
1220,54.45
1221,18.7
1222,19.13
1223,28.23
1224,41.21
1225,20.8
1226,28.6
1227,17.5
1228,38.57
1229,38.16
1230,42.34
1231,23.16
1232,16.62
1233,44.61
1234,22.56
1235,35.78
1236,10.7
1237,36.91
1238,43.02
1239,11.17
1240,53.95
1241,51.56
1242,37.44166666666667
1243,21.45
1244,49.13
1245,50.59
1246,39.95
1247,42.9
1248,31.64
1249,18.47
1250,23.58
1251,31.09
1252,28.29
1253,30.31
1254,50.72
1255,12.88
1256,52.31
1257,30.75
1258,33.69
1259,44.68
1260,13.87
1261,24.56
1262,20.2
1263,54.26
1264,44.38
1265,16.37
1266,9.76
1267,14.54
1268,24.81
1269,28.97
1270,14.42
1271,34.23
1272,39.84
1273,23.32
1274,26.52
1275,9.11
1276,22.8
1277,58.21
1278,34.81
1279,45.23
1280,36.32
1281,37.92
1282,21.07
1283,25.72
1284,40.89
1285,52.44
1286,41.56
1287,9.94
1288,25.96
1289,13.42
1290,44.31
1291,35.56
1292,32.25
1293,36.14
1294,47.39
1295,46.89
1296,13.36
1297,14.42
1298,26.19
1299,18.91
1300,18.85
1301,26.01
1302,24.71
1303,23.41
1304,37.98
1305,44.66
1306,20.62
1307,24.45
1308,37.72
1309,20.5
1310,16.17
1311,41.79
1312,54.67
1313,25.86
1314,38.76
1315,46.77
1316,26.36
1317,45.44
1318,33.81
1319,39.37
1320,19.71
1321,37.22
1322,19.96
1323,23.64
1324,53.92
1325,8.84
1326,12.56
1327,34.51
1328,13.46
1329,11.57
1330,47.54
1331,37.91
1332,22.27
1333,44.22
1334,12.51
1335,50.49
1336,20.4
1337,10.45
1338,29.39
1339,38.46
1340,43.02
1341,38.72
1342,16.32
1343,41.32
1344,14.62
1345,25.83
1346,11.81
1347,57.33
1348,35.76
1349,16.58
1350,40.94
1351,48.09
1352,28.03
1353,24.91
1354,47.08
1355,7.08
1356,33.18
1357,37.09
1358,47.26
1359,50.76
1360,8.81
1361,32.26
1362,7.21
1363,57.97
1364,35.63
1365,37.59
1366,12.99
1367,33.05
1368,25.86
1369,23.12
1370,41.71
1371,31.27
1372,23.22
1373,42.82
1374,43.35
1375,21.11
1376,39.15
1377,42.82
1378,37.71
1379,38.01
1380,45.46
1381,44.27
1382,30.23
1383,37.87
1384,25.2
1385,37.14
1386,27.15
1387,47.41
1388,8.19
1389,37.04
1390,28.71
1391,25.22
1392,24.04
1393,33.63
1394,35.35
1395,26.64
1396,33.58
1397,28.4
1398,21.98
1399,41.15
1400,17.15
1401,47.44
1402,33.93
1403,39.4
1404,36.96
1405,19.51
1406,53.79
1407,44.95
1408,47.99
1409,29.53
1410,17.63
1411,13.5
1412,61.68
1413,29.6
1414,11.21
1415,20.15
1416,44.99
1417,33.63
1418,34.99
1419,49.39
1420,37.5
1421,23.17
1422,32.1
1423,12.49
1424,49.13
1425,48.85
1426,30.14
1427,24.93
1428,9.67
1429,40.85
1430,55.35
1431,31.59
1432,14.11
1433,5.78
1434,26.16
1435,21.01
1436,44.24
1437,42.24
1438,30.91
1439,17.42
1440,18.29
1441,7.03
1442,19.34
1443,43.61
1444,36.83
1445,41.99
1446,25.8
1447,29.8
1448,26.76
1449,42.33
1450,41.47
1451,40.91
1452,21.05
1453,41.96
1454,20.6
1455,44.97
1456,32.83
1457,10.63
1458,36.78
1459,57.16
1460,27.35
1461,18.67
1462,31.23
1463,12.36
1464,45.48
1465,39.51
1466,47.94
1467,52.74
1468,44.03
1469,9.57
1470,18.29
1471,29.69
1472,39.58
1473,34.78
1474,14.22
1475,15.74
1476,13.93
1477,24.64
1478,49.4
1479,35.98
1480,18.31
1481,33.81
1482,32.16
1483,29.87
1484,52.22
1485,18.86
1486,26.74
1487,48.1
1488,24.08
1489,20.22
1490,31.79
1491,45.6
1492,19.74
1493,36.98
1494,47.69
1495,33.23
1496,54.81
1497,21.49
1498,22.21
1499,19.55
1500,34.93
1501,25.45
1502,35.12
1503,23.58
1504,20.03
1505,21.43
1506,48.47
1507,28.8
1508,19.01
1509,6.78
1510,62.28
1511,14.11
1512,53.5
1513,17.96
1514,13.85
1515,16.86
1516,20.54
1517,48.88
1518,27.56
1519,26.55
1520,32.13
1521,40.32
1522,13.92
1523,49.28
1524,9.61
1525,44.89
1526,33.76
1527,44.14
1528,40.34
1529,44.03
1530,26.24
1531,21.32
1532,17.46
1533,23.35
1534,47.86
1535,43.51
1536,53.27
1537,26.68
1538,36.31
1539,35.53
1540,16.78
1541,18.92
1542,33.02
1543,30.72
1544,29.77
1545,32.31
1546,40.55
1547,33.236666666666665
1548,13.56
1549,9.17
1550,19.37
1551,50.69
1552,49.93
1553,41.0
1554,8.36
1555,51.69
1556,34.76
1557,23.23
1558,45.7
1559,46.53
1560,36.58
1561,42.62
1562,30.91
1563,34.5
1564,35.76
1565,14.24
1566,26.78
1567,34.46
1568,40.59
1569,53.86
1570,50.13
1571,23.68
1572,34.03
1573,32.3
1574,34.33
1575,46.81
1576,50.3
1577,39.68
1578,23.75
1579,56.79
1580,20.26
1581,36.77
1582,34.24
1583,20.22
1584,51.24
1585,30.76
1586,51.44
1587,38.91
1588,34.25
1589,40.64
1590,32.82
1591,41.03
1592,48.92
1593,26.7
1594,37.05
1595,34.61
1596,47.77
1597,46.56
1598,54.7
1599,23.98
1600,26.77
1601,48.46
1602,35.69
1603,51.55
1604,44.35
1605,11.21
1606,54.02
1607,39.49
1608,9.63
1609,49.02
1610,50.65
1611,29.75
1612,44.82
1613,32.39
1614,44.69
1615,46.08
1616,53.62
1617,29.01
1618,25.28
1619,18.43
1620,36.34
1621,41.09
1622,34.87333333333333
1623,39.23
1624,20.31
1625,45.51
1626,38.95
1627,50.23
1628,52.06
1629,40.71
1630,23.46
1631,22.56
1632,20.07
1633,45.99
1634,53.63
1635,14.63
1636,50.58
1637,20.56
1638,38.59
1639,31.1
1640,51.9
1641,12.46
1642,36.79
1643,36.26
1644,36.69
1645,28.77
1646,24.42
1647,8.3
1648,50.04
1649,29.05
1650,52.51
1651,26.83
1652,25.38
1653,56.74
1654,23.67
1655,40.74
1656,45.56
1657,39.24
1658,26.59
1659,34.26
1660,37.68
1661,39.32
1662,22.31
1663,26.85
1664,30.04
1665,45.6
1666,22.61
1667,54.72
1668,21.67
1669,6.81
1670,60.98
1671,27.06
1672,46.66
1673,37.62
1674,45.95
1675,41.73
1676,49.37
1677,56.84
1678,26.54
1679,20.18
1680,16.24
1681,38.05
1682,41.46166666666667
1683,28.35
1684,37.66
1685,13.07
1686,37.15
1687,44.43
1688,33.54
1689,50.55
1690,21.32
1691,12.75
1692,19.82
1693,56.89
1694,31.1
1695,10.61
1696,47.14
1697,45.93
1698,23.65
1699,34.33
1700,59.47
1701,50.9
1702,48.46
1703,10.5
1704,32.85666666666666
1705,23.63
1706,50.25
1707,59.46
1708,52.98
1709,22.14
1710,36.62
1711,17.61
1712,37.38
1713,18.6
1714,36.1
1715,33.17
1716,40.85
1717,21.21
1718,29.63
1719,33.06
1720,39.83
1721,23.59
1722,32.88
1723,9.46
1724,56.06
1725,29.53
1726,40.16
1727,36.08
1728,27.83
1729,34.71
1730,26.64
1731,45.11
1732,35.73
1733,13.39
1734,18.71
1735,38.78
1736,13.17
1737,19.83
1738,35.37
1739,23.53
1740,23.47
1741,31.295
1742,59.14
1743,49.0
1744,13.35
1745,13.27
1746,16.93
1747,26.72
1748,18.67
1749,24.85
1750,49.31
1751,50.15
1752,16.1
1753,6.62
1754,41.05
1755,20.24
1756,37.76
1757,29.3
1758,32.17
1759,19.7
1760,38.06
1761,53.71
1762,48.56
1763,37.86
1764,33.37
1765,17.61
1766,34.13
1767,33.84
1768,25.17
1769,44.61
1770,48.38
1771,33.56
1772,48.25
1773,40.07
1774,9.88
1775,48.51
1776,52.85
1777,22.59
1778,27.51
1779,48.27
1780,10.12
1781,42.09
1782,34.81
1783,45.57
1784,25.08
1785,47.02
1786,42.39
1787,9.65
1788,22.86
1789,32.38
1790,32.62
1791,38.53
1792,30.25
1793,13.94
1794,34.99
1795,13.79
1796,51.0
1797,44.33
1798,51.97
1799,37.66
1800,43.78
1801,49.98
1802,36.25
1803,16.9
1804,22.62
1805,30.87
1806,37.53
1807,28.6
1808,33.81
1809,23.91
1810,21.61
1811,13.07
1812,35.62
1813,43.48
1814,7.45
1815,44.78
1816,57.51
1817,50.34
1818,31.95333333333333
1819,34.84
1820,30.91
1821,10.93
1822,48.52
1823,44.46
1824,44.3
1825,49.44
1826,11.32
1827,44.93
1828,27.43
1829,10.33
1830,44.87
1831,39.75
1832,44.14
1833,16.05
1834,24.9
1835,50.22
1836,25.32
1837,22.31
1838,21.47
1839,22.37
1840,53.64
1841,25.42
1842,30.85
1843,40.95
1844,39.39
1845,37.27
1846,34.16
1847,20.65
1848,23.6
1849,52.33
1850,37.35
1851,44.76
1852,50.09
1853,27.71
1854,38.42
1855,46.06
1856,25.74
1857,34.62
1858,17.94
1859,14.41
1860,13.29
1861,30.34
1862,28.75
1863,35.32
1864,35.45
1865,42.64
1866,31.41
1867,51.66
1868,45.21
1869,34.94
1870,47.57
1871,47.42
1872,30.81
1873,45.74
1874,29.44
1875,36.94
1876,27.81
1877,46.32
1878,11.59
1879,50.88
1880,41.12
1881,27.14
1882,22.18
1883,44.01
1884,12.03
1885,5.99
1886,51.39
1887,37.5
1888,49.71
1889,41.81
1890,44.77
1891,52.86
1892,34.06
1893,49.99
1894,39.02
1895,8.59
1896,18.14
1897,17.61
1898,21.45
1899,23.81
1900,20.37
1901,22.25
1902,34.73
1903,25.58
1904,25.12
1905,25.19
1906,29.82
1907,16.56
1908,36.27
1909,39.55
1910,38.04
1911,41.86
1912,12.95
1913,53.89
1914,30.97
1915,8.71
1916,31.18
1917,31.15
1918,15.07
1919,36.18
1920,42.87
1921,16.27
1922,32.63
1923,31.23
1924,25.74
1925,15.25
1926,43.08
1927,37.9
1928,59.04
1929,33.42
1930,21.68
1931,25.22
1932,46.71
1933,34.36
1934,34.45
1935,18.96
1936,52.69
1937,41.71
1938,36.9
1939,22.22
1940,29.98
1941,9.38
1942,8.23
1943,31.5
1944,19.78
1945,23.41
1946,30.8
1947,30.29
1948,9.57
1949,16.07
1950,27.65
1951,37.42
1952,10.69
1953,18.85
1954,6.26
1955,21.1
1956,48.42
1957,32.83
1958,37.5
1959,11.59
1960,39.22
1961,26.85
1962,23.74
1963,16.0
1964,30.72
1965,53.48
1966,29.8
1967,21.81
1968,13.66
1969,31.25
1970,37.57
1971,39.54
1972,41.4
1973,42.02
1974,46.55
1975,43.37
1976,17.22
1977,23.05
1978,45.12
1979,18.27
1980,43.29
1981,37.3
1982,54.17
1983,32.35
1984,29.63
1985,48.42
1986,49.67
1987,19.62
1988,46.28
1989,21.24
1990,54.87
1991,16.26
1992,13.89
1993,33.67
1994,6.0
1995,14.48
1996,43.51
1997,11.54
1998,21.27
1999,27.8
2000,23.97
2001,7.11
2002,10.64
2003,32.23
2004,31.36
2005,27.27
2006,48.32
2007,35.95
2008,23.57
2009,35.59
2010,25.97
2011,40.58
2012,28.71
2013,49.21
2014,24.31
2015,50.62
2016,7.1
2017,37.26
2018,38.7
2019,39.81
2020,34.7
2021,12.93
2022,31.78
2023,40.63
2024,51.19
2025,41.78
2026,40.68
2027,26.63
2028,10.42
2029,40.94
2030,34.52
2031,27.4
2032,42.23
2033,37.24
2034,52.44
2035,35.18
2036,30.6
2037,32.88
2038,49.43
2039,53.21
2040,46.29
2041,26.46
2042,23.89
2043,37.82
2044,46.22
2045,44.89
2046,34.34
2047,41.99
2048,43.66
2049,45.26
2050,27.74
2051,9.51
2052,51.83
2053,28.24
2054,25.65
2055,21.47
2056,26.24
2057,19.96
2058,33.52
2059,41.05
2060,53.26
2061,8.91
2062,19.73
2063,12.11
2064,36.39
2065,34.62
2066,34.64
2067,24.93
2068,15.3
2069,34.86
2070,21.2
2071,41.7
2072,15.48
2073,33.5
2074,38.69
2075,39.17
2076,44.13
2077,35.61
2078,52.24
2079,9.56
2080,24.21
2081,43.81
2082,58.99
2083,31.84
2084,29.8
2085,27.58
2086,40.32
2087,53.7
2088,37.28
2089,42.09
2090,26.9
2091,26.22
2092,30.19
2093,48.38
2094,48.54
2095,7.21
2096,15.03
2097,19.79
2098,19.79
2099,34.71
2100,24.59
2101,21.02
2102,9.12
2103,23.49
2104,20.09
2105,20.45
2106,40.0875
2107,35.6
2108,13.66
2109,18.22
2110,10.78
2111,44.29
2112,5.42
2113,28.79
2114,21.07
2115,49.59
2116,39.28
2117,50.85
2118,27.26
2119,18.43
2120,52.73
2121,56.1
2122,17.93
2123,21.39
2124,52.17
2125,36.25
2126,28.07
2127,45.88
2128,17.2
2129,45.86
2130,27.34
2131,57.34
